Año,Rango Edad,Accidentes Ambos Sexos,Heridos Ambos Sexos,Muertos Ambos Sexos,Accidentes Hombres,Heridos Hombres,Muertos Hombres,Accidentes Mujeres,Heridos Mujeres,Muertos Mujeres
2012,Hasta 5 años,188,188,0,109,109,0,78,78,0
2012,6 a 14 años,364,363,1,215,214,1,147,147,0
2012,15 a 20 años,686,684,2,395,394,1,287,286,1
2012,21 a 30 años,3182,3171,5,2029,2026,3,1135,1133,2
2012,31 a 45 años,4266,4254,10,2851,2842,9,1391,1390,1
2012,46 a 60 años,1996,1992,4,1230,1226,4,755,755,0
2012,60 y más años,1113,1103,11,521,519,2,586,577,9
2013,Hasta 5 años,202,201,1,121,121,0,81,80,1
2013,6 a 14 años,389,388,1,216,216,0,173,172,1
2013,15 a 20 años,654,654,0,411,411,0,243,243,0
2013,21 a 30 años,3093,3090,3,1967,1964,3,1126,1126,0
2013,31 a 45 años,4332,4323,9,2872,2864,8,1460,1459,1
2013,46 a 60 años,2051,2046,5,1289,1284,5,762,762,0
2013,60 y más años,1121,1109,12,488,483,5,633,626,7
2014,Hasta 5 años,163,163,0,100,100,0,63,63,0
2014,6 a 14 años,401,401,0,229,229,0,172,172,0
2014,15 a 20 años,644,644,0,398,398,0,246,246,0
2014,21 a 30 años,3150,3147,3,2000,1998,2,1150,1149,1
2014,31 a 45 años,4527,4521,6,2992,2986,6,1535,1535,0
2014,46 a 60 años,2303,2295,8,1455,1448,7,848,847,1
2014,60 y más años,1176,1169,7,547,542,5,629,627,2
2015,Hasta 5 años,166,165,1,95,94,1,71,71,0
2015,6 a 14 años,373,373,0,193,193,0,180,180,0
2015,15 a 20 años,671,671,0,403,403,0,268,268,0
2015,21 a 30 años,3096,3087,9,1972,1964,8,1124,1123,1
2015,31 a 45 años,4377,4371,6,2872,2867,5,1505,1504,1
2015,46 a 60 años,2388,2385,3,1480,1478,2,908,907,1
2015,60 y más años,1215,1210,5,585,582,3,630,628,2
2016,Hasta 5 años,147,147,0,95,95,0,52,52,0
2016,6 a 14 años,423,423,0,222,222,0,201,201,0
2016,15 a 20 años,644,644,0,369,369,0,275,275,0
2016,21 a 30 años,3274,3265,9,2129,2123,6,1145,1142,3
2016,31 a 45 años,4600,4586,14,2971,2958,13,1629,1628,1
2016,46 a 60 años,2431,2427,4,1562,1558,4,869,869,0
2016,60 y más años,1182,1176,6,553,549,4,629,627,2
2017,Hasta 5 años,168,167,1,95,94,1,73,73,0
2017,6 a 14 años,373,373,0,193,193,0,180,180,0
2017,15 a 20 años,622,621,1,375,375,0,247,246,1
2017,21 a 30 años,3272,3269,3,2165,2163,2,1107,1106,1
2017,31 a 45 años,4643,4635,8,3060,3052,8,1583,1583,0
2017,46 a 60 años,2666,2662,4,1650,1647,3,1016,1015,1
2017,60 y más años,1297,1287,10,617,610,7,680,677,3
2018,Hasta 5 años,148,148,0,86,86,0,62,62,0
2018,6 a 14 años,329,329,0,172,172,0,157,157,0
2018,15 a 20 años,600,597,3,356,354,2,244,243,1
2018,21 a 30 años,2964,2955,9,1937,1930,7,1027,1025,2
2018,31 a 45 años,4316,4308,8,2804,2798,6,1512,1510,2
2018,46 a 60 años,2997,2992,5,1894,1889,5,1103,1103,0
2018,60 y más años,1577,1567,10,788,788,0,789,779,10
2019,Hasta 5 años,203,203,0,110,110,0,93,93,0
2019,6 a 14 años,393,393,0,204,204,0,189,189,0
2019,15 a 20 años,657,657,0,402,402,0,255,255,0
2019,21 a 30 años,3061,3057,4,1969,1965,4,1092,1092,0
2019,31 a 45 años,4778,4769,9,3123,3116,7,1655,1653,2
2019,46 a 60 años,2999,2988,11,1867,1861,6,1132,1127,5
2019,60 y más años,1326,1317,9,656,648,8,670,669,1
2020,Hasta 5 años,108,107,1,54,54,0,54,53,1
2020,6 a 14 años,208,208,0,122,122,0,86,86,0
2020,15 a 20 años,438,438,0,274,274,0,164,164,0
2020,21 a 30 años,1904,1899,5,1270,1266,4,634,633,1
2020,31 a 45 años,2945,2929,16,1977,1965,12,968,964,4
2020,46 a 60 años,1884,1879,5,1222,1218,4,662,661,1
2020,60 y más años,755,748,7,403,398,5,352,350,2
2021,Hasta 5 años,143,142,1,86,86,0,57,56,1
2021,6 a 14 años,282,281,1,150,149,1,132,132,0
2021,15 a 20 años,528,527,1,323,323,0,204,203,1
2021,21 a 30 años,2371,2369,2,1524,1522,2,847,847,0
2021,31 a 45 años,3512,3508,4,2248,2244,4,1264,1264,0
2021,46 a 60 años,2392,2382,10,1547,1538,9,845,844,1
2021,60 y más años,956,951,5,493,491,2,463,460,3
2022,Hasta 5 años,155,154,1,77,76,1,78,78,0
2022,6 a 14 años,312,312,0,177,177,0,135,135,0
2022,15 a 20 años,578,577,1,354,353,1,224,224,0
2022,21 a 30 años,2572,2568,4,1688,1684,4,884,884,0
2022,31 a 45 años,3902,3895,7,2516,2511,5,1386,1384,2
2022,46 a 60 años,2729,2728,1,1729,1729,0,1000,999,1
2022,60 y más años,1170,1164,6,584,580,4,586,584,2
